produit_id,nom,categorie,prix
1,peau11,Telephonie,1998.696929379623
2,réunir16,Photo,1173.9322212745462
3,dessus7,Informatique,1785.9757566090873
4,qualité14,Telephonie,1556.2696466199461
5,source15,Telephonie,520.1740399588917
6,drame13,Audio,1745.6349774609496
7,maître6,Audio,418.6231627452115
8,doigt6,Tv,1209.144658930428
9,passer15,Photo,347.6049368868536
10,million6,Photo,1158.6138289438563
11,jeunesse12,Audio,897.2043659383478
12,afin de14,Audio,757.9222975172021
13,ce13,Telephonie,1343.8843182838361
14,protéger8,Tv,612.002092913859
15,charger7,Informatique,198.98110091386326
16,pénétrer10,Audio,673.234463868298
17,comment15,Telephonie,359.4837081835856
18,spectacle15,Tv,1753.1988449466505
19,prouver8,Audio,758.6584787889727
20,promener7,Tv,1608.5486459672215
21,douleur11,Photo,1854.038928259576
22,fermer17,Audio,1956.9462346186863
23,frapper6,Telephonie,1858.7732227891497
24,dernier9,Photo,1909.021416560566
25,engager17,Telephonie,1528.317263642558
26,toi9,Photo,339.87449125461256
27,théâtre14,Informatique,301.1962146299718
28,satisfaire13,Informatique,236.13567098728026
29,détruire13,Audio,1672.3856959227387
30,table12,Informatique,234.8586768903695
31,étouffer8,Telephonie,1798.1896368743426
32,saint13,Audio,1671.566722002914
33,or13,Audio,184.93034861062608
34,croix6,Photo,504.99147469469585
35,reposer17,Audio,1713.1134127919936
36,vivre8,Tv,1935.6503289226357
37,éviter10,Photo,1415.597156592652
38,éteindre8,Telephonie,688.8819264459352
39,où13,Informatique,851.553464768082
40,tout11,Tv,1368.7888656187295
41,certain6,Telephonie,465.0791958553367
42,haut16,Photo,1851.0198503344484
43,crier8,Informatique,1677.1967496002576
44,vin16,Photo,436.7393125656724
45,saluer13,Audio,639.3991723611311
46,gros13,Audio,637.4125429550729
47,détruire11,Informatique,935.6496438968128
48,rejoindre15,Audio,1067.7777530536614
49,soleil6,Informatique,249.01997394594468
50,qualité11,Audio,289.1102513646007
